fabricante,modelo,ano,combustivel,hp,cilindros,tipo_transmissao,tracao,num_portas,categoria,tamanho,estilo,km_por_l_estrada,km_por_l_cidade,popularidade,preco_venda,label
BMW,1 Series,2011,7,300.0,6.0,3,tracao_traseira,2.0,68,0,4,28,19,3916,40650,65
BMW,1 Series,2011,7,300.0,6.0,3,tracao_traseira,2.0,65,0,5,28,20,3916,36350,65
BMW,1 Series,2011,7,230.0,6.0,3,tracao_traseira,2.0,68,0,5,28,18,3916,29450,65
BMW,1 Series,2011,7,230.0,6.0,3,tracao_traseira,2.0,64,0,4,28,18,3916,34500,65
BMW,1 Series,2012,7,230.0,6.0,3,tracao_traseira,2.0,68,0,5,28,18,3916,31200,65
BMW,1 Series,2012,7,300.0,6.0,3,tracao_traseira,2.0,68,0,4,26,17,3916,44100,65
BMW,1 Series,2012,7,300.0,6.0,3,tracao_traseira,2.0,65,0,5,28,20,3916,39300,65
BMW,1 Series,2012,7,230.0,6.0,3,tracao_traseira,2.0,64,0,4,28,18,3916,36900,65
BMW,1 Series,2013,7,230.0,6.0,3,tracao_traseira,2.0,64,0,4,27,18,3916,37200,65
BMW,1 Series,2013,7,300.0,6.0,3,tracao_traseira,2.0,65,0,5,28,20,3916,39600,65
BMW,1 Series,2013,7,230.0,6.0,3,tracao_traseira,2.0,68,0,5,28,19,3916,31500,65
BMW,1 Series,2013,7,300.0,6.0,3,tracao_traseira,2.0,68,0,4,28,19,3916,44400,65
BMW,1 Series,2013,7,230.0,6.0,3,tracao_traseira,2.0,64,0,4,28,19,3916,37200,65
BMW,1 Series,2013,7,230.0,6.0,3,tracao_traseira,2.0,68,0,5,28,19,3916,31500,65
BMW,1 Series,2013,7,320.0,6.0,3,tracao_traseira,2.0,65,0,4,25,18,3916,48250,65
BMW,1 Series,2013,7,320.0,6.0,3,tracao_traseira,2.0,65,0,5,28,20,3916,43550,65
Audi,100,1992,6,172.0,6.0,3,tracao_dianteira,4.0,64,2,12,24,17,3105,2000,31
Audi,100,1992,6,172.0,6.0,3,tracao_dianteira,4.0,64,2,12,24,17,3105,2000,31
Audi,100,1992,6,172.0,6.0,0,quatro_por_quatro AWD,4.0,64,2,15,20,16,3105,2000,31
Audi,100,1992,6,172.0,6.0,3,tracao_dianteira,4.0,64,2,12,24,17,3105,2000,31
Audi,100,1992,6,172.0,6.0,3,quatro_por_quatro AWD,4.0,64,2,12,21,16,3105,2000,31
Audi,100,1993,6,172.0,6.0,3,tracao_dianteira,4.0,64,2,12,24,17,3105,2000,31
Audi,100,1993,6,172.0,6.0,0,quatro_por_quatro AWD,4.0,64,2,15,20,16,3105,2000,31
Audi,100,1993,6,172.0,6.0,3,tracao_dianteira,4.0,64,2,12,24,17,3105,2000,31
Audi,100,1993,6,172.0,6.0,3,tracao_dianteira,4.0,64,2,12,24,17,3105,2000,31
Audi,100,1993,6,172.0,6.0,3,quatro_por_quatro AWD,4.0,64,2,12,21,16,3105,2000,31
Audi,100,1994,6,172.0,6.0,0,tracao_dianteira,4.0,64,2,15,21,16,3105,2000,31
Audi,100,1994,6,172.0,6.0,3,quatro_por_quatro AWD,4.0,64,2,12,22,16,3105,2000,31
Audi,100,1994,6,172.0,6.0,3,tracao_dianteira,4.0,64,2,12,22,17,3105,2000,31
Audi,100,1994,6,172.0,6.0,0,tracao_dianteira,4.0,64,2,12,22,16,3105,2000,31
Audi,100,1994,6,172.0,6.0,0,quatro_por_quatro AWD,4.0,64,2,15,21,16,3105,2000,31
FIAT,124 Spider,2017,5,160.0,4.0,3,tracao_traseira,2.0,70,0,4,35,26,819,27495,287
FIAT,124 Spider,2017,5,160.0,4.0,3,tracao_traseira,2.0,70,0,4,35,26,819,24995,287
FIAT,124 Spider,2017,5,160.0,4.0,3,tracao_traseira,2.0,70,0,4,35,26,819,28195,287
Mercedes-Benz,190-Class,1991,6,130.0,4.0,3,tracao_traseira,4.0,64,0,12,26,18,617,2000,617
Mercedes-Benz,190-Class,1991,6,158.0,6.0,3,tracao_traseira,4.0,64,0,12,25,17,617,2000,617
Mercedes-Benz,190-Class,1992,6,158.0,6.0,3,tracao_traseira,4.0,64,0,12,25,17,617,2000,617
Mercedes-Benz,190-Class,1992,6,130.0,4.0,3,tracao_traseira,4.0,64,0,12,26,18,617,2000,617
Mercedes-Benz,190-Class,1993,6,130.0,4.0,3,tracao_traseira,4.0,64,0,12,26,18,617,2000,617
Mercedes-Benz,190-Class,1993,6,158.0,6.0,3,tracao_traseira,4.0,64,0,12,25,17,617,2000,617
BMW,2 Series,2016,7,240.0,4.0,0,tracao_traseira,2.0,68,0,5,35,23,3916,32850,66
BMW,2 Series,2016,7,240.0,4.0,0,tracao_traseira,2.0,64,0,4,34,23,3916,38650,66
BMW,2 Series,2016,7,320.0,6.0,0,tracao_traseira,2.0,3,0,4,31,20,3916,48750,66
BMW,2 Series,2016,7,240.0,4.0,0,quatro_por_quatro AWD,2.0,68,0,5,35,23,3916,34850,66
BMW,2 Series,2016,7,240.0,4.0,0,quatro_por_quatro AWD,2.0,64,0,4,34,22,3916,40650,66
BMW,2 Series,2016,7,320.0,6.0,0,tracao_traseira,2.0,3,0,5,31,20,3916,44150,66
BMW,2 Series,2016,7,240.0,4.0,3,tracao_traseira,2.0,68,0,5,34,22,3916,32850,66
BMW,2 Series,2016,7,320.0,6.0,0,quatro_por_quatro AWD,2.0,3,0,5,30,20,3916,46150,66
BMW,2 Series,2016,7,320.0,6.0,0,tracao_traseira,2.0,3,0,4,30,20,3916,50750,66
BMW,2 Series,2017,5,335.0,6.0,0,quatro_por_quatro AWD,2.0,3,0,5,31,21,3916,46450,66
BMW,2 Series,2017,5,335.0,6.0,0,tracao_traseira,2.0,3,0,4,32,21,3916,49050,66
BMW,2 Series,2017,5,335.0,6.0,0,quatro_por_quatro AWD,2.0,3,0,4,32,21,3916,51050,66
BMW,2 Series,2017,5,335.0,6.0,0,tracao_traseira,2.0,3,0,5,32,21,3916,44450,66
BMW,2 Series,2017,5,248.0,4.0,0,tracao_traseira,2.0,68,0,4,34,23,3916,38950,66
BMW,2 Series,2017,5,248.0,4.0,0,tracao_traseira,2.0,68,0,5,35,24,3916,33150,66
BMW,2 Series,2017,5,248.0,4.0,0,quatro_por_quatro AWD,2.0,68,0,5,33,24,3916,35150,66
BMW,2 Series,2017,5,248.0,4.0,0,quatro_por_quatro AWD,2.0,64,0,4,33,23,3916,40950,66
Audi,200,1990,6,162.0,5.0,0,tracao_dianteira,4.0,64,2,12,20,16,3105,2000,32
Audi,200,1990,6,162.0,5.0,3,quatro_por_quatro AWD,4.0,64,2,15,22,15,3105,2000,32
Audi,200,1990,6,162.0,5.0,3,quatro_por_quatro AWD,4.0,64,2,12,23,15,3105,2000,32
Audi,200,1991,6,217.0,5.0,3,quatro_por_quatro AWD,4.0,68,2,12,22,16,3105,2000,32
Audi,200,1991,6,217.0,5.0,3,quatro_por_quatro AWD,4.0,68,2,15,22,16,3105,2000,32
Audi,200,1991,6,162.0,5.0,0,tracao_dianteira,4.0,64,2,12,20,16,3105,2000,32
Chrysler,200,2015,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,25170,235
Chrysler,200,2015,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,23950,235
Chrysler,200,2015,3,295.0,6.0,0,quatro_por_quatro AWD,4.0,49,2,12,29,18,1013,29370,235
Chrysler,200,2015,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,21995,235
Chrysler,200,2015,3,184.0,4.0,0,tracao_dianteira,4.0,49,2,12,36,23,1013,26625,235
Chrysler,200,2015,3,295.0,6.0,0,quatro_por_quatro AWD,4.0,49,2,12,29,18,1013,30825,235
Chrysler,200,2016,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,21995,235
Chrysler,200,2016,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,27795,235
Chrysler,200,2016,3,295.0,6.0,0,quatro_por_quatro AWD,4.0,49,2,12,29,18,1013,31785,235
Chrysler,200,2016,3,295.0,6.0,0,quatro_por_quatro AWD,4.0,49,2,12,29,18,1013,29905,235
Chrysler,200,2016,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,22490,235
Chrysler,200,2016,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,27570,235
Chrysler,200,2016,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,25690,235
Chrysler,200,2016,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,24490,235
Chrysler,200,2017,3,295.0,6.0,0,quatro_por_quatro AWD,4.0,49,2,12,28,18,1013,29905,235
Chrysler,200,2017,3,295.0,6.0,0,quatro_por_quatro AWD,4.0,49,2,12,28,18,1013,31785,235
Chrysler,200,2017,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,26685,235
Chrysler,200,2017,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,22490,235
Chrysler,200,2017,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,25690,235
Chrysler,200,2017,3,295.0,6.0,0,quatro_por_quatro AWD,4.0,49,2,12,28,18,1013,30900,235
Chrysler,200,2017,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,27795,235
Chrysler,200,2017,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,21995,235
Chrysler,200,2017,3,184.0,4.0,0,tracao_dianteira,4.0,42,2,12,36,23,1013,24490,235
Nissan,200SX,1996,6,115.0,4.0,3,tracao_dianteira,2.0,63,0,5,36,26,2009,2000,679
Nissan,200SX,1996,6,115.0,4.0,3,tracao_dianteira,2.0,63,0,5,36,26,2009,2000,679
Nissan,200SX,1996,6,140.0,4.0,3,tracao_dianteira,2.0,70,0,5,29,21,2009,2000,679
Nissan,200SX,1997,6,140.0,4.0,3,tracao_dianteira,2.0,70,0,5,29,21,2009,2000,679
Nissan,200SX,1997,6,115.0,4.0,3,tracao_dianteira,2.0,63,0,5,35,25,2009,2000,679
Nissan,200SX,1997,6,115.0,4.0,3,tracao_dianteira,2.0,63,0,5,35,25,2009,2000,679
Nissan,200SX,1998,6,115.0,4.0,3,tracao_dianteira,2.0,63,0,5,35,25,2009,2000,679
Nissan,200SX,1998,6,115.0,4.0,3,tracao_dianteira,2.0,63,0,5,35,25,2009,2000,679
Nissan,200SX,1998,6,140.0,4.0,3,tracao_dianteira,2.0,70,0,5,28,20,2009,2073,679
Nissan,240SX,1996,6,155.0,4.0,3,tracao_traseira,2.0,70,0,5,26,19,2009,3713,680
Nissan,240SX,1996,6,155.0,4.0,3,tracao_traseira,2.0,70,0,5,26,19,2009,3520,680
Nissan,240SX,1997,6,155.0,4.0,3,tracao_traseira,2.0,70,0,5,26,19,2009,3910,680
Nissan,240SX,1997,6,155.0,4.0,3,tracao_traseira,2.0,70,0,5,26,19,2009,4182,680
Nissan,240SX,1997,6,155.0,4.0,3,tracao_traseira,2.0,70,0,5,26,19,2009,4107,680
Nissan,240SX,1998,6,155.0,4.0,3,tracao_traseira,2.0,70,0,5,25,20,2009,4299,680
Nissan,240SX,1998,6,155.0,4.0,3,tracao_traseira,2.0,70,0,5,25,20,2009,4693,680
Nissan,240SX,1998,6,155.0,4.0,3,tracao_traseira,2.0,70,0,5,25,20,2009,4107,680
Volvo,240,1991,6,114.0,4.0,3,tracao_traseira,4.0,64,2,15,26,19,870,2000,901
Volvo,240,1991,6,114.0,4.0,0,tracao_traseira,4.0,64,2,15,23,18,870,2000,901
Volvo,240,1991,6,114.0,4.0,3,tracao_traseira,4.0,64,2,12,26,19,870,2000,901
Volvo,240,1992,6,114.0,4.0,3,tracao_traseira,4.0,64,2,12,26,19,870,2000,901
Volvo,240,1992,6,114.0,4.0,3,tracao_traseira,4.0,64,2,15,26,19,870,2000,901
Volvo,240,1992,6,114.0,4.0,3,tracao_traseira,4.0,64,2,12,26,19,870,2000,901
Volvo,240,1993,6,114.0,4.0,3,tracao_traseira,4.0,64,2,12,26,19,870,2000,901
Volvo,240,1993,6,114.0,4.0,3,tracao_traseira,4.0,64,2,15,25,18,870,2000,901
Mazda,2,2012,6,100.0,4.0,3,tracao_dianteira,4.0,51,0,2,35,29,586,16020,582
Mazda,2,2012,6,100.0,4.0,3,tracao_dianteira,4.0,51,0,2,35,29,586,14530,582
Mazda,2,2012,6,100.0,4.0,0,tracao_dianteira,4.0,51,0,2,34,28,586,16860,582
Mazda,2,2012,6,100.0,4.0,0,tracao_dianteira,4.0,51,0,2,34,28,586,15370,582
Mazda,2,2013,6,100.0,4.0,0,tracao_dianteira,4.0,51,0,2,34,28,586,17050,582
Mazda,2,2013,6,100.0,4.0,0,tracao_dianteira,4.0,51,0,2,34,28,586,15560,582
Mazda,2,2013,6,100.0,4.0,3,tracao_dianteira,4.0,51,0,2,35,29,586,16210,582
Mazda,2,2013,6,100.0,4.0,3,tracao_dianteira,4.0,51,0,2,35,29,586,14720,582
Mazda,2,2014,6,100.0,4.0,0,tracao_dianteira,4.0,51,0,2,34,28,586,17050,582
Mazda,2,2014,6,100.0,4.0,0,tracao_dianteira,4.0,51,0,2,34,28,586,15560,582
Mazda,2,2014,6,100.0,4.0,3,tracao_dianteira,4.0,51,0,2,35,29,586,16210,582
Mazda,2,2014,6,100.0,4.0,3,tracao_dianteira,4.0,51,0,2,35,29,586,14720,582
BMW,3 Series Gran Turismo,2015,7,300.0,6.0,0,quatro_por_quatro AWD,4.0,60,2,2,30,20,3916,47250,68
BMW,3 Series Gran Turismo,2015,7,240.0,4.0,0,quatro_por_quatro AWD,4.0,58,2,2,33,22,3916,41850,68
BMW,3 Series Gran Turismo,2015,7,240.0,4.0,0,quatro_por_quatro AWD,4.0,58,2,2,33,22,3916,41850,68
BMW,3 Series Gran Turismo,2016,7,240.0,4.0,0,quatro_por_quatro AWD,4.0,58,2,2,34,22,3916,43000,68
BMW,3 Series Gran Turismo,2016,7,300.0,6.0,0,quatro_por_quatro AWD,4.0,60,2,2,30,20,3916,49200,68
BMW,3 Series Gran Turismo,2017,7,320.0,6.0,0,quatro_por_quatro AWD,4.0,60,2,2,30,20,3916,49650,68
BMW,3 Series Gran Turismo,2017,7,248.0,4.0,0,quatro_por_quatro AWD,4.0,58,2,2,33,23,3916,43950,68
BMW,3 Series,2015,7,241.0,4.0,0,quatro_por_quatro AWD,4.0,64,2,15,33,22,3916,41950,67
BMW,3 Series,2015,7,335.0,6.0,0,tracao_traseira,4.0,66,2,12,33,25,3916,50150,67
BMW,3 Series,2015,7,240.0,4.0,0,tracao_traseira,4.0,68,2,12,35,23,3916,37500,67
BMW,3 Series,2015,7,300.0,6.0,0,tracao_traseira,4.0,65,2,12,32,21,3916,43750,67
BMW,3 Series,2015,1,180.0,4.0,0,tracao_traseira,4.0,30,2,12,45,32,3916,39000,67
BMW,3 Series,2015,7,240.0,4.0,0,quatro_por_quatro AWD,4.0,64,2,12,33,22,3916,39500,67
BMW,3 Series,2015,7,240.0,4.0,0,quatro_por_quatro AWD,4.0,64,2,12,33,22,3916,39500,67
BMW,3 Series,2015,7,180.0,4.0,0,quatro_por_quatro AWD,4.0,64,2,12,35,23,3916,34950,67
BMW,3 Series,2015,7,300.0,6.0,0,quatro_por_quatro AWD,4.0,68,2,12,30,20,3916,45750,67
BMW,3 Series,2015,1,180.0,4.0,0,quatro_por_quatro AWD,4.0,30,2,15,43,31,3916,43450,67
BMW,3 Series,2015,7,240.0,4.0,0,tracao_traseira,4.0,68,2,12,35,23,3916,37500,67
BMW,3 Series,2015,1,180.0,4.0,0,quatro_por_quatro AWD,4.0,30,2,12,43,31,3916,41000,67
BMW,3 Series,2015,7,180.0,4.0,0,tracao_traseira,4.0,64,2,12,36,24,3916,32950,67
BMW,3 Series,2016,1,180.0,4.0,0,quatro_por_quatro AWD,4.0,30,2,12,40,30,3916,41850,67
BMW,3 Series,2016,7,320.0,6.0,0,quatro_por_quatro AWD,4.0,65,2,12,33,22,3916,47800,67
BMW,3 Series,2016,1,180.0,4.0,0,tracao_traseira,4.0,30,2,12,42,32,3916,39850,67
BMW,3 Series,2016,7,240.0,4.0,0,tracao_traseira,4.0,68,2,12,34,22,3916,38350,67
BMW,3 Series,2016,7,240.0,4.0,0,quatro_por_quatro AWD,4.0,64,2,12,34,22,3916,40350,67
BMW,3 Series,2016,7,240.0,4.0,3,tracao_traseira,4.0,68,2,12,34,22,3916,38350,67
BMW,3 Series,2016,7,240.0,4.0,0,quatro_por_quatro AWD,4.0,64,2,15,34,22,3916,42650,67
BMW,3 Series,2016,7,180.0,4.0,0,tracao_traseira,4.0,64,2,12,36,24,3916,33150,67
BMW,3 Series,2016,7,180.0,4.0,0,quatro_por_quatro AWD,4.0,64,2,12,35,23,3916,35150,67
BMW,3 Series,2016,1,180.0,4.0,0,quatro_por_quatro AWD,4.0,30,2,15,40,30,3916,44150,67
BMW,3 Series,2016,7,320.0,6.0,0,tracao_traseira,4.0,65,2,12,33,22,3916,45800,67
BMW,3 Series,2017,5,248.0,4.0,0,tracao_traseira,4.0,68,2,12,34,23,3916,38750,67
BMW,3 Series,2017,5,180.0,4.0,0,quatro_por_quatro AWD,4.0,64,2,12,34,23,3916,35450,67
BMW,3 Series,2017,5,180.0,4.0,0,tracao_traseira,4.0,64,2,12,35,23,3916,33450,67
BMW,3 Series,2017,5,248.0,4.0,0,quatro_por_quatro AWD,4.0,64,2,12,33,23,3916,40750,67
BMW,3 Series,2017,1,180.0,4.0,0,quatro_por_quatro AWD,4.0,30,2,12,40,30,3916,42250,67
BMW,3 Series,2017,5,248.0,4.0,0,quatro_por_quatro AWD,4.0,64,2,15,33,23,3916,42950,67
BMW,3 Series,2017,1,180.0,4.0,0,tracao_traseira,4.0,30,2,12,42,32,3916,40250,67
BMW,3 Series,2017,5,320.0,6.0,0,quatro_por_quatro AWD,4.0,68,2,12,31,21,3916,49900,67
BMW,3 Series,2017,5,320.0,6.0,0,tracao_traseira,4.0,65,2,12,32,21,3916,47900,67
BMW,3 Series,2017,1,180.0,4.0,0,quatro_por_quatro AWD,4.0,30,2,15,40,30,3916,44450,67
Mercedes-Benz,300-Class,1991,6,177.0,6.0,0,tracao_traseira,4.0,64,1,12,19,15,617,2232,618
Mercedes-Benz,300-Class,1991,6,177.0,6.0,0,tracao_traseira,4.0,64,2,15,20,15,617,2000,618
Mercedes-Benz,300-Class,1991,6,158.0,6.0,0,tracao_traseira,4.0,64,2,12,22,17,617,2000,618
Mercedes-Benz,300-Class,1991,6,177.0,6.0,0,quatro_por_quatro AWD,4.0,64,2,12,20,15,617,2105,618
Mercedes-Benz,300-Class,1991,6,177.0,6.0,0,quatro_por_quatro AWD,4.0,64,2,15,18,15,617,2199,618
Mercedes-Benz,300-Class,1991,6,177.0,6.0,0,tracao_traseira,4.0,64,2,12,22,16,617,2000,618
Mercedes-Benz,300-Class,1991,6,177.0,6.0,0,tracao_traseira,4.0,64,1,12,19,15,617,2124,618
Mercedes-Benz,300-Class,1991,6,228.0,6.0,3,tracao_traseira,2.0,68,0,4,21,14,617,3552,618
Mercedes-Benz,300-Class,1991,6,217.0,6.0,0,tracao_traseira,2.0,64,2,5,22,15,617,2179,618
Mercedes-Benz,300-Class,1991,1,121.0,5.0,0,tracao_traseira,4.0,30,2,12,30,23,617,2000,618
Mercedes-Benz,300-Class,1992,1,121.0,5.0,0,tracao_traseira,4.0,30,2,12,29,23,617,2000,618
Mercedes-Benz,300-Class,1992,6,228.0,6.0,0,tracao_traseira,4.0,64,1,12,17,14,617,2377,618
Mercedes-Benz,300-Class,1992,6,228.0,6.0,3,tracao_traseira,2.0,68,0,4,21,15,617,3814,618
Mercedes-Benz,300-Class,1992,6,177.0,6.0,0,quatro_por_quatro AWD,4.0,64,2,12,19,15,617,2207,618
Mercedes-Benz,300-Class,1992,6,177.0,6.0,0,tracao_traseira,4.0,64,2,15,20,15,617,2000,618
Mercedes-Benz,300-Class,1992,6,217.0,6.0,0,tracao_traseira,2.0,64,2,5,21,15,617,2248,618
Mercedes-Benz,300-Class,1992,6,177.0,6.0,0,tracao_traseira,4.0,64,2,12,22,16,617,2065,618
Mercedes-Benz,300-Class,1992,1,148.0,6.0,0,tracao_traseira,4.0,30,1,12,22,18,617,2547,618
Mercedes-Benz,300-Class,1992,6,177.0,6.0,0,quatro_por_quatro AWD,4.0,64,2,15,18,15,617,2282,618
Mercedes-Benz,300-Class,1992,6,158.0,6.0,0,tracao_traseira,4.0,64,2,12,23,18,617,2000,618
Mercedes-Benz,300-Class,1993,6,177.0,6.0,0,quatro_por_quatro AWD,4.0,64,2,15,19,15,617,2544,618
Mercedes-Benz,300-Class,1993,6,217.0,6.0,0,tracao_traseira,2.0,64,2,5,22,17,617,2397,618
Mercedes-Benz,300-Class,1993,1,121.0,5.0,0,tracao_traseira,4.0,30,2,12,30,23,617,2000,618
Mercedes-Benz,300-Class,1993,6,228.0,6.0,3,tracao_traseira,2.0,68,0,4,21,14,617,4174,618
Mercedes-Benz,300-Class,1993,6,217.0,6.0,0,tracao_traseira,4.0,64,2,12,22,17,617,2187,618
Mercedes-Benz,300-Class,1993,1,148.0,6.0,0,tracao_traseira,4.0,30,1,12,22,18,617,2729,618
Mercedes-Benz,300-Class,1993,6,177.0,6.0,0,quatro_por_quatro AWD,4.0,64,2,12,19,15,617,2433,618
Mercedes-Benz,300-Class,1993,6,194.0,6.0,0,tracao_traseira,4.0,64,2,12,23,17,617,2247,618
Mercedes-Benz,300-Class,1993,6,228.0,6.0,0,tracao_traseira,4.0,64,1,12,18,14,617,2540,618
Mitsubishi,3000GT,1997,6,218.0,6.0,3,tracao_dianteira,2.0,61,0,0,23,17,436,3941,657
Mitsubishi,3000GT,1997,6,161.0,6.0,3,tracao_dianteira,2.0,51,0,0,22,17,436,3295,657
Mitsubishi,3000GT,1997,6,320.0,6.0,3,quatro_por_quatro AWD,2.0,54,0,0,22,16,436,6008,657
Mitsubishi,3000GT,1998,6,320.0,6.0,3,quatro_por_quatro AWD,2.0,54,0,0,22,16,436,6710,657
Mitsubishi,3000GT,1998,6,161.0,6.0,3,tracao_dianteira,2.0,51,0,0,22,17,436,3701,657
Mitsubishi,3000GT,1998,6,218.0,6.0,3,tracao_dianteira,2.0,61,0,0,23,17,436,4671,657
Mitsubishi,3000GT,1999,6,218.0,6.0,3,tracao_dianteira,2.0,61,0,0,23,17,436,5306,657
Mitsubishi,3000GT,1999,6,320.0,6.0,3,quatro_por_quatro AWD,2.0,54,0,0,22,16,436,7600,657
Mitsubishi,3000GT,1999,6,161.0,6.0,3,tracao_dianteira,2.0,51,0,0,22,17,436,4090,657
Chrysler,300,2015,6,300.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,37570,236
Chrysler,300,2015,6,292.0,6.0,0,tracao_traseira,4.0,63,1,12,31,19,1013,31695,236
Chrysler,300,2015,6,292.0,6.0,0,tracao_traseira,4.0,63,1,12,31,19,1013,38070,236
Chrysler,300,2015,6,292.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,44895,236
Chrysler,300,2015,6,300.0,6.0,0,tracao_traseira,4.0,70,1,12,31,19,1013,35070,236
Chrysler,300,2015,6,292.0,6.0,0,tracao_traseira,4.0,70,1,12,31,19,1013,42395,236
Chrysler,300,2015,6,292.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,34195,236
Chrysler,300,2015,6,292.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,40570,236
Chrysler,300,2016,6,300.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,38095,236
Chrysler,300,2016,6,300.0,6.0,0,tracao_traseira,4.0,70,1,12,31,19,1013,35595,236
Chrysler,300,2016,6,292.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,45190,236
Chrysler,300,2016,6,292.0,6.0,0,tracao_traseira,4.0,63,1,12,31,19,1013,32260,236
Chrysler,300,2016,6,292.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,37755,236
Chrysler,300,2016,6,292.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,41055,236
Chrysler,300,2016,6,300.0,6.0,0,tracao_traseira,4.0,70,1,12,31,19,1013,36090,236
Chrysler,300,2016,6,292.0,6.0,0,tracao_traseira,4.0,70,1,12,31,19,1013,42690,236
Chrysler,300,2016,6,292.0,6.0,0,tracao_traseira,4.0,63,1,12,31,19,1013,38555,236
Chrysler,300,2016,6,292.0,6.0,0,tracao_traseira,4.0,63,1,12,31,19,1013,35255,236
Chrysler,300,2016,6,300.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,38590,236
Chrysler,300,2016,6,292.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,34760,236
Chrysler,300,2017,6,292.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,41135,236
Chrysler,300,2017,6,292.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,45270,236
Chrysler,300,2017,6,300.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,38670,236
Chrysler,300,2017,6,292.0,6.0,0,tracao_traseira,4.0,70,1,12,30,19,1013,38635,236
Chrysler,300,2017,6,300.0,6.0,0,tracao_traseira,4.0,70,1,12,30,19,1013,36170,236
Chrysler,300,2017,6,300.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,38175,236
Chrysler,300,2017,6,292.0,6.0,0,tracao_traseira,4.0,63,1,12,30,19,1013,32340,236
Chrysler,300,2017,6,292.0,6.0,0,tracao_traseira,4.0,70,1,12,30,19,1013,42770,236
Chrysler,300,2017,6,292.0,6.0,0,quatro_por_quatro AWD,4.0,63,1,12,27,18,1013,34840,236
Chrysler,300,2017,6,300.0,6.0,0,tracao_traseira,4.0,70,1,12,30,19,1013,35675,236
Chrysler,300M,2002,7,250.0,6.0,0,tracao_dianteira,4.0,70,1,12,24,16,1013,32065,237
Chrysler,300M,2002,7,250.0,6.0,0,tracao_dianteira,4.0,70,1,12,24,16,1013,28540,237
Chrysler,300M,2003,7,255.0,6.0,0,tracao_dianteira,4.0,70,1,12,25,16,1013,32315,237
Chrysler,300M,2003,6,250.0,6.0,0,tracao_dianteira,4.0,70,1,12,25,16,1013,28885,237
Chrysler,300M,2004,6,250.0,6.0,0,tracao_dianteira,4.0,70,1,12,25,16,1013,29185,237
Chrysler,300M,2004,7,255.0,6.0,0,tracao_dianteira,4.0,70,1,12,25,16,1013,32615,237
Nissan,300ZX,1994,6,222.0,6.0,3,tracao_traseira,2.0,70,0,4,22,16,2009,2847,681
Nissan,300ZX,1994,6,222.0,6.0,3,tracao_traseira,2.0,70,0,5,22,16,2009,2488,681
Nissan,300ZX,1994,6,300.0,6.0,3,tracao_traseira,2.0,61,0,0,22,16,2009,2683,681
Nissan,300ZX,1994,6,222.0,6.0,3,tracao_traseira,2.0,70,0,5,22,16,2009,2553,681
Nissan,300ZX,1995,6,300.0,6.0,3,tracao_traseira,2.0,70,0,5,22,16,2009,3049,681
Nissan,300ZX,1995,6,222.0,6.0,3,tracao_traseira,2.0,70,0,5,22,17,2009,2774,681
Nissan,300ZX,1995,6,222.0,6.0,3,tracao_traseira,2.0,70,0,5,22,17,2009,2702,681
