fabricante,modelo,ano,combustivel,hp,cilindros,tipo_transmissao,tracao,num_portas,categoria,tamanho,estilo,km_por_l_estrada,km_por_l_cidade,popularidade,preco_venda,label
BMW,1 Series M,2011,7,335.0,6.0,3,3,2.0,3,0,5,26,19,3916,46135,4
BMW,1 Series,2011,7,300.0,6.0,3,3,2.0,68,0,4,28,19,3916,40650,4
BMW,1 Series,2011,7,300.0,6.0,3,3,2.0,65,0,5,28,20,3916,36350,4
BMW,1 Series,2011,7,230.0,6.0,3,3,2.0,68,0,5,28,18,3916,29450,4
BMW,1 Series,2011,7,230.0,6.0,3,3,2.0,64,0,4,28,18,3916,34500,4
BMW,1 Series,2012,7,230.0,6.0,3,3,2.0,68,0,5,28,18,3916,31200,4
BMW,1 Series,2012,7,300.0,6.0,3,3,2.0,68,0,4,26,17,3916,44100,4
BMW,1 Series,2012,7,300.0,6.0,3,3,2.0,65,0,5,28,20,3916,39300,4
BMW,1 Series,2012,7,230.0,6.0,3,3,2.0,64,0,4,28,18,3916,36900,4
BMW,1 Series,2013,7,230.0,6.0,3,3,2.0,64,0,4,27,18,3916,37200,4
BMW,1 Series,2013,7,300.0,6.0,3,3,2.0,65,0,5,28,20,3916,39600,4
BMW,1 Series,2013,7,230.0,6.0,3,3,2.0,68,0,5,28,19,3916,31500,4
BMW,1 Series,2013,7,300.0,6.0,3,3,2.0,68,0,4,28,19,3916,44400,4
BMW,1 Series,2013,7,230.0,6.0,3,3,2.0,64,0,4,28,19,3916,37200,4
BMW,1 Series,2013,7,230.0,6.0,3,3,2.0,68,0,5,28,19,3916,31500,4
BMW,1 Series,2013,7,320.0,6.0,3,3,2.0,65,0,4,25,18,3916,48250,4
BMW,1 Series,2013,7,320.0,6.0,3,3,2.0,65,0,5,28,20,3916,43550,4
Audi,100,1992,6,172.0,6.0,3,2,4.0,64,2,12,24,17,3105,2000,3
Audi,100,1992,6,172.0,6.0,3,2,4.0,64,2,12,24,17,3105,2000,3
Audi,100,1992,6,172.0,6.0,0,1,4.0,64,2,15,20,16,3105,2000,3
Audi,100,1992,6,172.0,6.0,3,2,4.0,64,2,12,24,17,3105,2000,3
Audi,100,1992,6,172.0,6.0,3,1,4.0,64,2,12,21,16,3105,2000,3
Audi,100,1993,6,172.0,6.0,3,2,4.0,64,2,12,24,17,3105,2000,3
Audi,100,1993,6,172.0,6.0,0,1,4.0,64,2,15,20,16,3105,2000,3
Audi,100,1993,6,172.0,6.0,3,2,4.0,64,2,12,24,17,3105,2000,3
Audi,100,1993,6,172.0,6.0,3,2,4.0,64,2,12,24,17,3105,2000,3
Audi,100,1993,6,172.0,6.0,3,1,4.0,64,2,12,21,16,3105,2000,3
Audi,100,1994,6,172.0,6.0,0,2,4.0,64,2,15,21,16,3105,2000,3
Audi,100,1994,6,172.0,6.0,3,1,4.0,64,2,12,22,16,3105,2000,3
Audi,100,1994,6,172.0,6.0,3,2,4.0,64,2,12,22,17,3105,2000,3
Audi,100,1994,6,172.0,6.0,0,2,4.0,64,2,12,22,16,3105,2000,3
Audi,100,1994,6,172.0,6.0,0,1,4.0,64,2,15,21,16,3105,2000,3
FIAT,124 Spider,2017,5,160.0,4.0,3,3,2.0,70,0,4,35,26,819,27495,12
FIAT,124 Spider,2017,5,160.0,4.0,3,3,2.0,70,0,4,35,26,819,24995,12
FIAT,124 Spider,2017,5,160.0,4.0,3,3,2.0,70,0,4,35,26,819,28195,12
Mercedes-Benz,190-Class,1991,6,130.0,4.0,3,3,4.0,64,0,12,26,18,617,2000,31
Mercedes-Benz,190-Class,1991,6,158.0,6.0,3,3,4.0,64,0,12,25,17,617,2000,31
Mercedes-Benz,190-Class,1992,6,158.0,6.0,3,3,4.0,64,0,12,25,17,617,2000,31
Mercedes-Benz,190-Class,1992,6,130.0,4.0,3,3,4.0,64,0,12,26,18,617,2000,31
Mercedes-Benz,190-Class,1993,6,130.0,4.0,3,3,4.0,64,0,12,26,18,617,2000,31
Mercedes-Benz,190-Class,1993,6,158.0,6.0,3,3,4.0,64,0,12,25,17,617,2000,31
BMW,2 Series,2016,7,240.0,4.0,0,3,2.0,68,0,5,35,23,3916,32850,4
BMW,2 Series,2016,7,240.0,4.0,0,3,2.0,64,0,4,34,23,3916,38650,4
BMW,2 Series,2016,7,320.0,6.0,0,3,2.0,3,0,4,31,20,3916,48750,4
BMW,2 Series,2016,7,240.0,4.0,0,1,2.0,68,0,5,35,23,3916,34850,4
BMW,2 Series,2016,7,240.0,4.0,0,1,2.0,64,0,4,34,22,3916,40650,4
BMW,2 Series,2016,7,320.0,6.0,0,3,2.0,3,0,5,31,20,3916,44150,4
BMW,2 Series,2016,7,240.0,4.0,3,3,2.0,68,0,5,34,22,3916,32850,4
BMW,2 Series,2016,7,320.0,6.0,0,1,2.0,3,0,5,30,20,3916,46150,4
BMW,2 Series,2016,7,320.0,6.0,0,3,2.0,3,0,4,30,20,3916,50750,4
BMW,2 Series,2017,5,335.0,6.0,0,1,2.0,3,0,5,31,21,3916,46450,4
BMW,2 Series,2017,5,335.0,6.0,0,3,2.0,3,0,4,32,21,3916,49050,4
BMW,2 Series,2017,5,335.0,6.0,0,1,2.0,3,0,4,32,21,3916,51050,4
BMW,2 Series,2017,5,335.0,6.0,0,3,2.0,3,0,5,32,21,3916,44450,4
BMW,2 Series,2017,5,248.0,4.0,0,3,2.0,68,0,4,34,23,3916,38950,4
BMW,2 Series,2017,5,248.0,4.0,0,3,2.0,68,0,5,35,24,3916,33150,4
BMW,2 Series,2017,5,248.0,4.0,0,1,2.0,68,0,5,33,24,3916,35150,4
BMW,2 Series,2017,5,248.0,4.0,0,1,2.0,64,0,4,33,23,3916,40950,4
Audi,200,1990,6,162.0,5.0,0,2,4.0,64,2,12,20,16,3105,2000,3
Audi,200,1990,6,162.0,5.0,3,1,4.0,64,2,15,22,15,3105,2000,3
Audi,200,1990,6,162.0,5.0,3,1,4.0,64,2,12,23,15,3105,2000,3
Audi,200,1991,6,217.0,5.0,3,1,4.0,68,2,12,22,16,3105,2000,3
Audi,200,1991,6,217.0,5.0,3,1,4.0,68,2,15,22,16,3105,2000,3
Audi,200,1991,6,162.0,5.0,0,2,4.0,64,2,12,20,16,3105,2000,3
Chrysler,200,2015,3,184.0,4.0,0,2,4.0,42,2,12,36,23,1013,25170,10
Chrysler,200,2015,3,184.0,4.0,0,2,4.0,42,2,12,36,23,1013,23950,10
Chrysler,200,2015,3,295.0,6.0,0,1,4.0,49,2,12,29,18,1013,29370,10
Chrysler,200,2015,3,184.0,4.0,0,2,4.0,42,2,12,36,23,1013,21995,10
Chrysler,200,2015,3,184.0,4.0,0,2,4.0,49,2,12,36,23,1013,26625,10
Chrysler,200,2015,3,295.0,6.0,0,1,4.0,49,2,12,29,18,1013,30825,10
Chrysler,200,2016,3,184.0,4.0,0,2,4.0,42,2,12,36,23,1013,21995,10
Chrysler,200,2016,3,184.0,4.0,0,2,4.0,42,2,12,36,23,1013,27795,10
Chrysler,200,2016,3,295.0,6.0,0,1,4.0,49,2,12,29,18,1013,31785,10
Chrysler,200,2016,3,295.0,6.0,0,1,4.0,49,2,12,29,18,1013,29905,10
Chrysler,200,2016,3,184.0,4.0,0,2,4.0,42,2,12,36,23,1013,22490,10
Chrysler,200,2016,3,184.0,4.0,0,2,4.0,42,2,12,36,23,1013,27570,10
Chrysler,200,2016,3,184.0,4.0,0,2,4.0,42,2,12,36,23,1013,25690,10
Chrysler,200,2016,3,184.0,4.0,0,2,4.0,42,2,12,36,23,1013,24490,10
Chrysler,200,2017,3,295.0,6.0,0,1,4.0,49,2,12,28,18,1013,29905,10
Chrysler,200,2017,3,295.0,6.0,0,1,4.0,49,2,12,28,18,1013,31785,10
Chrysler,200,2017,3,184.0,4.0,0,2,4.0,42,2,12,36,23,1013,26685,10
Chrysler,200,2017,3,184.0,4.0,0,2,4.0,42,2,12,36,23,1013,22490,10
Chrysler,200,2017,3,184.0,4.0,0,2,4.0,42,2,12,36,23,1013,25690,10
Chrysler,200,2017,3,295.0,6.0,0,1,4.0,49,2,12,28,18,1013,30900,10
