fabricante,modelo,ano,combustivel,hp,cilindros,tipo_transmissao,tracao,num_portas,categoria,tamanho,estilo,km_por_l_estrada,km_por_l_cidade,popularidade,preco_venda,label
BMW,1 Series M,2011,7,335.0,6.0,3,3,2.0,3,0,5,26,19,3916,46135,1
BMW,1 Series,2011,7,300.0,6.0,3,3,2.0,68,0,4,28,19,3916,40650,0
BMW,1 Series,2011,7,300.0,6.0,3,3,2.0,65,0,5,28,20,3916,36350,0
BMW,1 Series,2011,7,230.0,6.0,3,3,2.0,68,0,5,28,18,3916,29450,0
BMW,1 Series,2011,7,230.0,6.0,3,3,2.0,64,0,4,28,18,3916,34500,0
BMW,1 Series,2012,7,230.0,6.0,3,3,2.0,68,0,5,28,18,3916,31200,0
BMW,1 Series,2012,7,300.0,6.0,3,3,2.0,68,0,4,26,17,3916,44100,0
BMW,1 Series,2012,7,300.0,6.0,3,3,2.0,65,0,5,28,20,3916,39300,0
BMW,1 Series,2012,7,230.0,6.0,3,3,2.0,64,0,4,28,18,3916,36900,0
BMW,1 Series,2013,7,230.0,6.0,3,3,2.0,64,0,4,27,18,3916,37200,0
BMW,1 Series,2013,7,300.0,6.0,3,3,2.0,65,0,5,28,20,3916,39600,0
BMW,1 Series,2013,7,230.0,6.0,3,3,2.0,68,0,5,28,19,3916,31500,0
BMW,1 Series,2013,7,300.0,6.0,3,3,2.0,68,0,4,28,19,3916,44400,0
BMW,1 Series,2013,7,230.0,6.0,3,3,2.0,64,0,4,28,19,3916,37200,0
BMW,1 Series,2013,7,230.0,6.0,3,3,2.0,68,0,5,28,19,3916,31500,0
BMW,1 Series,2013,7,320.0,6.0,3,3,2.0,65,0,4,25,18,3916,48250,0
BMW,1 Series,2013,7,320.0,6.0,3,3,2.0,65,0,5,28,20,3916,43550,0
Audi,100,1992,6,172.0,6.0,3,2,4.0,64,2,12,24,17,3105,2000,2
Audi,100,1992,6,172.0,6.0,3,2,4.0,64,2,12,24,17,3105,2000,2
Audi,100,1992,6,172.0,6.0,0,1,4.0,64,2,15,20,16,3105,2000,2
Audi,100,1992,6,172.0,6.0,3,2,4.0,64,2,12,24,17,3105,2000,2
Audi,100,1992,6,172.0,6.0,3,1,4.0,64,2,12,21,16,3105,2000,2
Audi,100,1993,6,172.0,6.0,3,2,4.0,64,2,12,24,17,3105,2000,2
Audi,100,1993,6,172.0,6.0,0,1,4.0,64,2,15,20,16,3105,2000,2
Audi,100,1993,6,172.0,6.0,3,2,4.0,64,2,12,24,17,3105,2000,2
Audi,100,1993,6,172.0,6.0,3,2,4.0,64,2,12,24,17,3105,2000,2
Audi,100,1993,6,172.0,6.0,3,1,4.0,64,2,12,21,16,3105,2000,2
Audi,100,1994,6,172.0,6.0,0,2,4.0,64,2,15,21,16,3105,2000,2
Audi,100,1994,6,172.0,6.0,3,1,4.0,64,2,12,22,16,3105,2000,2
Audi,100,1994,6,172.0,6.0,3,2,4.0,64,2,12,22,17,3105,2000,2
Audi,100,1994,6,172.0,6.0,0,2,4.0,64,2,12,22,16,3105,2000,2
Audi,100,1994,6,172.0,6.0,0,1,4.0,64,2,15,21,16,3105,2000,2
FIAT,124 Spider,2017,5,160.0,4.0,3,3,2.0,70,0,4,35,26,819,27495,3
FIAT,124 Spider,2017,5,160.0,4.0,3,3,2.0,70,0,4,35,26,819,24995,3
FIAT,124 Spider,2017,5,160.0,4.0,3,3,2.0,70,0,4,35,26,819,28195,3
Mercedes-Benz,190-Class,1991,6,130.0,4.0,3,3,4.0,64,0,12,26,18,617,2000,4
Mercedes-Benz,190-Class,1991,6,158.0,6.0,3,3,4.0,64,0,12,25,17,617,2000,4
Mercedes-Benz,190-Class,1992,6,158.0,6.0,3,3,4.0,64,0,12,25,17,617,2000,4
